Hs,Hmax,Tz,Tp,Peak Direction,SST
0.623,1.28,4.208,5.637,61.08,24.3
0.633,1.16,4.219,5.646,72.08,24.3
0.618,0.98,3.916,6.102,68.08,24.3
0.559,0.92,3.976,6.584,64.08,24.35
0.572,0.91,3.967,5.978,63.08,24.45
0.594,1.12,3.886,6.01,72.08,24.55
0.58,1.05,3.893,6.31,74.08,24.3
0.628,0.96,3.85,6.423,72.08,23.95
0.658,1.16,3.737,6.259,68.08,23.65
0.693,1.14,3.747,6.172,70.08,23.6
0.684,1.3,3.593,6.33,72.08,23.5
0.653,1.11,3.781,3.814,68.08,23.35
0.692,1.04,3.814,6.389,63.08,23.45
0.645,1.12,3.668,3.695,68.08,22.7
0.668,1.12,3.832,3.866,56.08,22.5
0.681,1.13,3.76,3.941,63.08,23.2
0.716,1.17,3.722,6.312,61.08,23
0.736,1.41,3.826,3.879,60.08,22.6
0.748,1.21,4.016,4.395,63.08,22.65
0.758,1.34,3.902,3.947,67.08,22.7
0.757,1.43,3.898,3.601,63.08,22.7
0.722,1.14,4.09,6.174,61.08,22.85
0.705,1.2,4.046,6.162,70.08,23
0.709,1.13,4.184,6.175,72.08,23.05
0.663,1.21,4.32,7.03,77.08,23.05
0.628,1.19,4.458,6.541,68.08,23
0.631,1.06,4.601,6.11,71.08,22.85
0.644,1.18,4.557,6.552,75.08,22.65
0.681,1.03,4.639,6.395,70.08,22.6
0.643,1.04,4.37,6.548,74.08,22.9
0.681,1.17,4.524,6.364,70.08,23.1
0.704,1.09,4.35,7.204,67.08,23.45
0.7,1.18,4.252,5.796,78.08,23.25
0.69,1.14,4.24,7.189,75.08,23.3
0.729,1.44,4.216,7.083,77.08,23.1
0.759,1.12,4.246,6.954,77.08,22.75
0.756,1.24,4.065,6.71,71.08,22.75
0.745,1.21,3.969,7.044,72.08,22.8
0.746,1.31,3.941,7.014,70.08,22.8
0.727,1.21,4.101,7.047,74.08,22.75
0.684,1.08,3.961,7.078,71.08,22.75
0.672,1.05,4.172,7.73,81.08,22.65
0.726,1.25,4.127,6.342,77.08,22.55
0.801,1.38,4.194,6.979,68.08,22.45
0.814,1.26,4.194,7.006,77.08,22.45
0.87,1.42,4.055,6.775,84.08,22.35
0.863,1.45,3.947,7.419,81.08,22.35
0.916,1.57,4.052,7.435,82.08,22.4
0.905,1.7,3.982,4.037,81.08,22.45
0.96,1.8,4.217,7.319,78.08,22.4
1.019,1.68,4.31,7.5,89.08,23.2
0.953,1.69,4.226,7.3,81.08,23.7
0.983,1.68,4.244,7.561,102.08,23.65
1.028,1.67,4.239,6.359,108.08,23.6
1.096,1.79,4.416,7.508,98.08,23.6
1.22,2.63,4.308,7.291,105.08,23.5
1.158,1.89,4.239,7.576,91.08,23.45
1.181,2.16,4.237,3.952,95.08,23.4
1.144,1.86,4.278,7.419,146.08,23.4
1.114,1.86,4.145,7.771,91.08,23.4
1.132,1.92,4.294,7.554,79.08,23.4
1.175,1.82,4.374,7.353,84.08,23.4
1.199,2.06,4.472,7.57,89.08,23.65
1.135,1.72,4.551,7.235,91.08,23.7
1.217,1.93,4.532,7.512,95.08,23.7
1.215,2.2,4.581,7.539,91.08,23.7
1.203,1.74,4.679,7.81,95.08,23.7
1.213,1.85,4.645,7.534,103.08,23.7
1.236,2.45,4.808,7.788,102.08,23.65
1.256,2.11,5.068,7.633,98.08,23.65
1.228,2.03,4.809,7.293,101.08,23.6
1.211,2.08,4.744,8.136,95.08,23.6
1.251,2.94,4.636,7.273,108.08,23.6
1.235,1.86,4.685,7.572,95.08,23.6
1.197,2.31,4.944,7.797,96.08,23.6
1.189,1.76,4.754,8.148,95.08,23.6
1.331,2.06,5.149,7.737,96.08,23.55
1.281,2.11,5.111,7.862,105.08,23.55
1.341,2.17,5.051,7.548,102.08,23.55
1.287,2.09,4.92,8.131,102.08,23.55
1.34,2.64,4.99,7.707,96.08,23.5
1.356,2.43,5.145,8.126,102.08,23.5
1.42,2.38,5.172,8.075,105.08,23.5
1.386,2.24,5.315,7.594,108.08,23.5
1.426,2.15,5.078,8.433,112.08,23.5
